open,high,low,close,volume,trade_count,vwap,sma5,sma50,sma100,ema20,rsi14,macd,upperBB,lowerBB,ATR14,momentum,deviation,zscore,target
249.38,249.69,245.56,247.66,38142942.0,614923.0,247.885625,252.302,237.92440000000002,221.6007,249.8699758493284,39.084166397936094,-1.733396017843691,265.39020160018504,237.96279839981503,4.488357142857146,49.50999999999999,9.735599999999977,-0.5857645320131298,1
246.6,248.845,244.7,247.77,35477986.0,533528.0,247.379341,250.56000000000003,238.81280000000004,222.0575,249.66997814939236,42.17241379310343,-1.9142261069047688,264.4776074414304,239.83739255856952,4.4487142857142885,45.25,8.957199999999972,-0.7122502820463296,1
249.485,251.82,247.47,249.34,33893611.0,528880.0,249.637944,248.81599999999997,239.7412,222.5373,249.63855165897405,35.52479815455588,-1.877831563054695,263.43729382710865,241.91270617289135,4.369571428571429,47.20000000000002,9.598800000000011,-0.6197563555827896,0
248.25,249.04,245.13,247.45,39776974.0,616258.0,247.367783,247.498,240.42520000000002,223.0591,249.4301181676432,34.88108720271792,-1.9237218485947638,261.78645344960955,244.52054655039038,4.397428571428571,53.17999999999998,7.024799999999971,-1.321332272504706,1
248.02,253.38,247.27,252.29,49146961.0,634830.0,250.730053,248.902,241.0704,223.57989999999998,249.7024878659629,46.468646864686434,-1.584903597761647,261.35860560789286,245.62739439210713,4.65885714285714,55.31,11.219599999999986,-0.3058887160049917,1
255.885,264.375,255.63,262.24,90483029.0,1160822.0,261.743669,251.81799999999998,241.7282,224.1981,250.8965366406331,59.500624219725374,-0.6929983239513673,262.5283554202603,245.0736445797397,5.321428571428569,69.08000000000001,20.511800000000022,1.933919175655234,1
261.88,265.29,261.83,262.77,46692347.0,714858.0,263.454079,254.81799999999998,242.44,224.8263,252.02734267485852,59.20523138832999,-0.10076687727493727,263.82459334985305,244.6114066501469,5.2714285714285705,63.02999999999997,20.329999999999984,1.7804438448788489,0
262.65,262.85,255.43,258.45,45011970.0,687110.0,258.688074,256.64,243.016,225.40230000000003,252.63902432487197,51.5566037735849,-0.03669693226938975,264.26634865838287,244.78365134161712,5.513571428571429,53.849999999999994,15.433999999999997,0.8058432436092593,1
259.94,260.62,258.0101,259.58,32752139.0,482428.0,259.55946,259.066,243.541,225.9811,253.30006962726512,51.82926829268293,0.0408628708276888,264.6123069768877,244.70869302311232,5.322135714285712,51.20999999999998,16.038999999999987,0.9886646739481855,1
261.19,264.13,259.18,262.82,38253517.0,599532.0,262.561732,261.172,244.1418,226.57659999999998,254.20672966276368,56.87991021324355,0.2573741785016468,265.6280278444977,244.42897215550224,5.388564285714283,53.53999999999999,18.678200000000004,1.4701598249104308,1
264.88,269.12,264.6501,268.81,44888052.0,661981.0,267.017412,262.486,244.88620000000003,227.2365,255.59751731392905,62.249155573216754,0.7245396844745162,267.9983412170872,243.49665878291282,5.697850000000001,58.670000000000016,23.92379999999997,2.1325066203259118,1
268.985,269.89,268.15,269.0,41534547.0,585457.0,269.003607,263.732,245.6484,227.9202,256.873944236412,61.17695136902329,0.9525269755421801,270.0535320558366,242.8784679441634,5.649992857142861,57.78999999999999,23.35159999999999,1.8449266501808819,1
269.275,271.41,267.11,269.7,51086742.0,687375.0,269.541758,265.98199999999997,246.4312,228.57800000000003,258.0954733567537,67.1635247698378,1.049026531523733,271.98179447685163,242.3752055231483,5.605707142857146,57.19999999999999,23.2688,1.6917180185235432,1
